RecyclerID,Company Name,Info,Status,Type,Address,District,State
1650763,A K M RECYCLERS,Recycler,Pending at applicant,Authorization,"WARE HOUSE NO.467/1,S.NO.180/12/1 VILLAGE DHANSAR PANVEL Raigarh(MH)",Raigarh(MH),MAHARASHTRA
210,AKSHA RECYCLING AND WASTE MANAGEMENT PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"876, 1193-1195, 7.5 KM. JANSATH ROAD, VILL.- SHER NAGAR, GAUTAM BUDH NAGAR, MUZAFFARNAGAR, Muzaffarnagar",Muzaffarnagar,UTTAR PRADESH
12555,ALCHEMY RECYCLERS PRIVATE LIMITED,Recycler,Pending at CPCB,Authorization,"RS NO. 634/PAIKI P-2, MOJE MANJUSAR LAMDAPURA VILLAGE ROAD, TAL. SAVLI, DIST. VADODARA VADODARA Vadodara",Vadodara,GUJARAT
9681,ALFA TRADING COMPANY,Recycler,Pending at applicant,Authorization,"Mohd Estate, Pimpri Dahisar Mori, Mumbra Panvel Road Thane Thane",Thane,MAHARASHTRA
6936,Aman E Waste Recyclers Pvt LTD,Recycler,Approved by CPCB Authority,Authorization,S No 20/5 Plot No 79 to 89 Aamgaon Talasari Palghar Thane,Thane,MAHARASHTRA
14125,ANJANI EWASTE RECYCLING,Recycler,Approved by CPCB Authority,Authorization,"Plot No. 101 Lohardaga Industrial Area, RIADA Lohardaga Lohardaga",Lohardaga,JHARKHAND
274,Anmol Paryavaran Sanrakshan Samiti,Recycler,Approved by CPCB Authority,Authorization,"Kh. No. 85/2,87/1, Anmol Paryavaran Sanrakshan Samiti, Daulatpur ,Hazratpur Urf Budhwasahid, Tahsil- Roorkee Haridwar Haridwar",Haridwar,UTTARAKHAND
246,Anubahv e-waste recycler india llp,Recycler,Pending at applicant,Authorization,f-44 upsida industrial area kosi kotwan ext-1 mathura Mathura,Mathura,UTTAR PRADESH
2794332,ANVIANI SUSTAINABLE RECYCLING LLP,Recycler,Approved by CPCB Authority,Authorization,"PLOT NO. F3 UPSIDA INDUSTRIAL AREA, GOPALPUR SIKANDRABAD Bulandshahr",Bulandshahr,UTTAR PRADESH
9215,Aptus E Waste Recycling pvt ltd ,Recycler,Approved by CPCB Authority,Authorization,No 68 B HOOTGALLI INDUSTRIAL AREA Mysore Mysore,Mysore,KARNATAKA
5358,ARIHANT E RECYCLING PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"GUT NO 307/1,, DONDAICHA, AT POST DONDAICHA, CITY DONDAICHA-WARWADE, Dhule, Maharashtra, 425408  DHULE Dhule",Dhule,MAHARASHTRA
33995,Arlington Information Systems Pvt Ltd,Recycler,Pending at applicant,Authorization,"C-13, Site IV Sahibabad Industrial Area Ghaziabad Ghaziabad",Ghaziabad,UTTAR PRADESH
2707222,ARP RECYCLING PRIVATE LIMITED,Recycler,Pending at applicant,Authorization,"KHASRA NO.399, RELIANCE ROAD PANCHSHEEL NAGAR HAPUR Hapur",Hapur,UTTAR PRADESH
753493,AR RECYCLERS PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"KHASRA NO 1775,JAULI JANSATH PARGANA,NAGLA BUZURG MUZAFFARNAGAR,UTTAR PRADESH 251308 MUZAFFARNAGAR Muzaffarnagar",Muzaffarnagar,UTTAR PRADESH
58995,ARSH RECYCLING PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,F-203 UPSIDC INDUSTRIAL AREA MG ROAD GHAZIABAD GHAZIABAD HAPUR Hapur,Hapur,UTTAR PRADESH
526563,Ash Recyclers,Recycler,Pending at applicant,Authorization,Unit 2 B-3 KSSIDC Industrial Estate Hosakote Bangalore,Bangalore,KARNATAKA
6142,ASNCO INDIA PVT LTD,Recycler,Approved by CPCB Authority,Authorization,"KH.150151,207,211,212,213,394,199,200 VILLAGE-KHUJNAWAR SAHARANPUR Saharanpur",Saharanpur,UTTAR PRADESH
7709,ATTERO RECYCLING PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,KHASRA NO 173 RAIPUR INDUSTRIAL AREA BHAGWANPUR DIST HARIDWAR ROORKEE Haridwar,Haridwar,UTTARAKHAND
220,BASANT CLEANENVIRO LIMITED,Recycler,Approved by CPCB Authority,Authorization,"Plot No 67 GIDC Kadi, Kadi Budasan Road Kadi Mahesana",Mahesana,GUJARAT
7826,BEIL INFRASTRUCTURE LIMITED,Recycler,Approved by CPCB Authority,Authorization,PLOT NO 9701-16 GIDC ESTATE ANKLESHWAR Bharuch,Bharuch,GUJARAT
204,BEST E-WASTE RECYCLERS PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,KIADB INDUSTRIAL AREA 2nd CROSS NO 459 VASANTHNARSAPURA KORA TUMKUR TUMKUR Tumkur,Tumkur,KARNATAKA
5187,Bhangarwala Waste Management Pvt Ltd,Recycler,Approved by CPCB Authority,Authorization,New Survey No-80/2 Plot No-13  JUNA Survey No-245 Dahishar Mori  Walivali Thane Thane,Thane,MAHARASHTRA
13931,BHANU METAL INDUSTRIES,Recycler,Approved by CPCB Authority,Authorization,"Khamar  P.O-Rajarhat-Bishnupur, P.S-Rajarhat, 24 Parganas North P.S-Rajarhat, 24 Parganas North Bishnupur North 24 Parganas",North 24 Parganas,WEST BENGAL
5088,BHARAT OIL AND WASTE MANAGEMENT LTD.,Recycler,Pending at applicant,Authorization,"Bharat Oil &amp; Waste Management Limited Mauza Mukimpur, Roorkee Lakshar Road Roorkee Haridwar",Haridwar,UTTARAKHAND
5267,BHARAT OIL COMPANY (I) REGD.,Recycler,Pending at applicant,Authorization,"BHARAT OIL COMPANY (INDIA) REGD. E-18, Site-IV, Sahibabad Industrial Area, Ghaziabad Ghaziabad",Ghaziabad,UTTAR PRADESH
2827352,BINBAG RECYCLING SERVICES PVT LTD,Recycler,Approved by CPCB Authority,Authorization,INDUSTRIAL ESTATE NATHKUCHI TIHU TIHU Nalbari,Nalbari,ASSAM
7494,Binbay Recycling Private Limited,Recycler,Approved by CPCB Authority,Authorization,"Binbay House. Survey  No 48. Unit No 1.2.3.6.7 Agarwal Industrial Premises, Village- Gauraipada, Vasai East Thane",Thane,MAHARASHTRA
14694,BLACK DIAMOND CEMENTS PRIVATE LIMITED,Recycler,Pending at applicant,Authorization,"Vill- Humainpur, Naraingarh Road Lalru SAS Nagar, Punjab Mohali Mohali",Mohali,PUNJAB
281,Bright E Waste Recycling india,Recycler,Approved by CPCB Authority,Authorization,Khasra num 512 village Ganeshpur Tehsil Mawana Distt. Meerut Mawana Meerut,Meerut,UTTAR PRADESH
7979,BRP INFOTECH PVT LTD,Recycler,Approved by CPCB Authority,Authorization,F-381 UPSIDC INDU AREA PHASE-1 MG ROAD HAPUR HAPUR Hapur,Hapur,UTTAR PRADESH
7549,BRP INFOTECH PVT LTD,Recycler,Approved by CPCB Authority,Authorization,F-394 UPSIDC INDU AREA PHASE-1 MASSURI GULAWATI ROAD HAPUR-245101  HAPUR Ghaziabad,Ghaziabad,UTTAR PRADESH
1120219,B.S.M.R METALS,Recycler,Approved by CPCB Authority,Authorization,"Plot No 6, 2nd Main Road 2nd Cross KSSIDC Industrial area Veersandra 2nd stage Attibele hobli Bangalore Bangalore",Bangalore,KARNATAKA
1709467,CARBIOS ECO WASTE MANAGEMENT PRIVATE,Recycler,Approved by CPCB Authority,Authorization,"Nelamangala, Plot No 30-P4-1, In Sy. no. Part of 63 & 104 Dabaspel1 Phase Industrial Area, Yedehall, Sompura Nelamangala Nelamangala Bangalore",Bangalore,KARNATAKA
7657,Cerebra Integrated Technologies Ltd,Recycler,Approved by CPCB Authority,Authorization,"Cerebra Integrated Technologies Ltd. Plot No 41 to 46 KIADB Industrial Rd, Appasandra Village, Narsapura Hobli, Narasapura Kolar Kolar",Kolar,KARNATAKA
8392,Circularity Solutions Private Limited,Recycler,Approved by CPCB Authority,Authorization,"Khasra No.95, 96 Sekhera Road Modinagar Ghaziabad",Ghaziabad,UTTAR PRADESH
2686709,"Circularity Solutions Pvt Ltd, Nashik",Recycler,Pending at applicant,Authorization,Gut No 21/1 Sarul Nashik Nashik,Nashik,MAHARASHTRA
187,CLEAN INDIA RECYCLING PVT LTD,Recycler,Approved by CPCB Authority,Authorization,"KHASRA NO-737,738,739,VILLAGE BIJOLI PARGANA SARAVA PIPLI KHEDA MEERUT  MEERUT Meerut",Meerut,UTTAR PRADESH
9418,COMMUNICATIONS TEST DESIGN INDIA PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"NO. 48, 2ND PHASE, PEENYA INDUSTRIAL AREA PEENYA Bengaluru (Bangalore) Urban Bangalore",Bangalore,KARNATAKA
27214,COMNET E WASTE LLP,Recycler,Pending at applicant,Authorization,Gat No 410 Hajare Wasti Kaudgaon Tal Dist Ahmednagar 414002 Ahmednagar Ahmed Nagar,Ahmed Nagar,MAHARASHTRA
185,Coral Communications and Networks P Ltd,Recycler,Approved by CPCB Authority,Authorization,"8E, KIADB INDUSTRIAL ESTATE, HOSKOTE INDUSTRIAL AREA, BANGALORE-562114 Bangalore Bangalore Bangalore Rural",Bangalore Rural,KARNATAKA
501676,COSMOS RECYCLING PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"MULLANPUR ROAD, LHS, OPPOSITE DASHMESH DHARAM KANDA VPO HAMBRAN, LUDHIANA LUDHIANA Ludhiana",Ludhiana,PUNJAB
114,Cynosure Recycling Private Limited,Recycler,Approved by CPCB Authority,Authorization,"Khasra No. 64, Village Peeplikhera, Pargana Sarawa, Meerut, Uttar Pradesh, 250002  Meerut Meerut",Meerut,UTTAR PRADESH
1726844,Cynosure Recycling Private Limited-Unit II(HYD,Recycler,Approved by CPCB Authority,Authorization,"Survey No 3/LU/1,3/RU,3/LU,303/AA, Hari OM Pipes Road Kethireddypally Village Grampanchayat,Balanagar Mandal, Mahabubnagar Hyderabad Mahabub Nagar",Mahabub Nagar,TELANGANA
14718,DESHWAL WASTE MANAGEMENT PVT LTD,Recycler,Approved by CPCB Authority,Authorization,PLOT NO 15 SECTOR 5 IMT MANESAR GURGAON GURUGRAM HARYANA 122052 PLOT NO 15 SECTOR 5 IMT MANESAR GURGAON GURUGRAM HARYANA 122052 GURGAON GURUGRAM Gurgaon,Gurgaon,HARYANA
9735,DRON E WASTE SOLUTION,Recycler,Pending at applicant,Authorization,"Plot No. 56, GIDC Gozariya  Gozariya Mahesana",Mahesana,GUJARAT
5234,DUSTMAN WASTE MANAGEMENT & RECYCLING PVT,Recycler,Approved by CPCB Authority,Authorization,"No 176/1, MAMBAKKAM VILLAGE, SRIPERUMBUDUR TALUK,  KANCHIPURAM DISTRICT Kanchipuram",Kanchipuram,TAMIL NADU
2814474,E2E RECYCLING BUSINESS PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"PLOT NO 281,2ND PHASE, VASANTHANARASAPURA INDUSTRIAL AREA VASANTHANARASAPURA , KORATAGERE, TUMAKURU TUMAKURU Tumkur",Tumkur,KARNATAKA
9679,Eali Recyclers ,Recycler,Approved by CPCB Authority,Authorization,"Near Pirana Gate, Survey No 730 Old Survey No 225 Plot No 3, Giriraj Industrial Park 2, Ode-Paldi Kankaj Road, Tal Daskroi, Paldi Kankaj, Ahmedabad, Gujarat, 382210 AHMEDABAD Ahmedabad",Ahmedabad,GUJARAT
12536,EARTH CARE E-WASTE PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"15,Sy.No.37,1st Phase, Kengeri Hobali, Kumbalgudu Industrial Area Bengaluru 15,Sy.No.37,1st Phase, Kengeri Hobali, Kumbalgudu Industrial Area Bengaluru Bangalore Bangalore",Bangalore,KARNATAKA
112,Earth Sense Recycle Private Limited,Recycler,Approved by CPCB Authority,Authorization,"Plot No:37, TSIIC Industrial Park, Mankal, Maheshwaram (M), Rangareddy District Hyderabad K.V.Rangareddy",K.V.Rangareddy,TELANGANA
7647,Earth Sense Recycle Private Limited,Recycler,Approved by CPCB Authority,Authorization,"Printech Park Cluster 1st Phase, Plot No A17, Kanakapura Taluk, KIADB Industrial Area Harohally Village Han KIADB Industrial Area, Harohalli, Ramanagara, Karnataka, 562112 Bangalore Bangalore Rural",Bangalore Rural,KARNATAKA
8019,EARTHZONE RECYCLING PRIVATE LIMITED,Recycler,Approved by CPCB Authority,Authorization,"Khasra no - 788,790B, Hapur Road ALLIPUR JIMJMANA, MEERUT MEERUT Meerut",Meerut,UTTAR PRADESH
6755,E Box Recyclers,Recycler,Approved by CPCB Authority,Authorization,Shed No B-3 KSSIDC Industrial Area Veerasandra 2nd Stage Huskur Road Electronic City Bangalore Bangalore,Bangalore,KARNATAKA
231,Eco Fly Ewaste Recycling Pvt. Ltd,Recycler,Approved by CPCB Authority,Authorization,"Khasra No-26 -Village -Pipli Khera, Bhamanpura Road, Phaphunda, Uttar Pradesh  Merrut Meerut",Meerut,UTTAR PRADESH
